elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
22.502,0.6472,53.4395,114.159,100.0191,0.7116,85.8183,110.3616,109.4716
22.602,0.6149,53.4395,114.159,100.0191,0.676,85.8183,110.3616,109.4716
22.702,0.6795,53.2519,114.3246,99.9248,0.732,85.9168,110.4105,109.6448
22.802,0.6455,53.2519,114.3246,99.9248,0.6954,85.9168,110.4105,109.6448
22.902,0.6132,53.2519,114.3246,99.9248,0.6607,85.9168,110.4105,109.6448
23.002,0.6893,53.0491,114.494,99.7954,0.7112,85.9828,110.4832,109.7952
23.102,0.6549,53.0491,114.494,99.7954,0.6757,85.9828,110.4832,109.7952
23.202,0.6549,53.0491,114.494,99.7954,0.6757,85.9828,110.4832,109.7952
23.302,0.591,53.0491,114.494,99.7954,0.6098,85.9828,110.4832,109.7952
23.402,0.6663,52.8569,114.6473,99.6523,0.6655,86.0181,110.5873,109.9317
23.502,0.633,52.8569,114.6473,99.6523,0.6323,86.0181,110.5873,109.9317
23.602,0.6013,52.8569,114.6473,99.6523,0.6006,86.0181,110.5873,109.9317
23.702,0.6868,52.6516,114.8059,99.4835,0.665,86.0465,110.7103,110.0751
23.802,0.6524,52.6516,114.8059,99.4835,0.6318,86.0465,110.7103,110.0751
23.902,0.6198,52.6516,114.8059,99.4835,0.6002,86.0465,110.7103,110.0751
24.002,0.721,52.4379,114.9733,99.3142,0.6663,86.0845,110.8137,110.2138
24.102,0.685,52.4379,114.9733,99.3142,0.633,86.0845,110.8137,110.2138
24.202,0.6507,52.4379,114.9733,99.3142,0.6013,86.0845,110.8137,110.2138
24.302,0.7351,52.2228,115.1471,99.1586,0.6511,86.1185,110.9104,110.3411
24.402,0.6983,52.2228,115.1471,99.1586,0.6186,86.1185,110.9104,110.3411
24.502,0.6634,52.2228,115.1471,99.1586,0.5876,86.1185,110.9104,110.3411
24.602,0.7439,52.2228,115.3331,99.0296,0.6446,86.1185,111.0173,110.4752
24.702,0.7067,52.005,115.3331,99.0296,0.6124,86.1514,111.0173,110.4752
24.802,0.6714,52.005,115.3331,99.0296,0.5817,86.1514,111.0173,110.4752
24.902,0.6378,52.005,115.3331,99.0296,0.5527,86.1514,111.0173,110.4752
