"Step","Feb12_03-32-08_PPO - Reward / Total reward (mean)","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MIN","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MAX"
"8175","0.30700943","0.30700943","0.30700943"
"8187","-0.64620006","-0.64620006","-0.64620006"
"8215","-0.7233772","-0.7233772","-0.7233772"
"8232","-0.24342236","-0.24342236","-0.24342236"
"8252","-0.64862305","-0.64862305","-0.64862305"
"8272","-0.8064733","-0.8064733","-0.8064733"
"8289","-0.6021176","-0.6021176","-0.6021176"
"8309","-1.017803","-1.017803","-1.017803"
"8329","-0.60069007","-0.60069007","-0.60069007"
"8346","-0.29826948","-0.29826948","-0.29826948"
"8366","-0.67335504","-0.67335504","-0.67335504"
"8386","-0.58219343","-0.58219343","-0.58219343"
"8403","-0.7462681","-0.7462681","-0.7462681"
"8423","-0.6392237","-0.6392237","-0.6392237"
"8443","-0.6494804","-0.6494804","-0.6494804"
"8460","-0.93639135","-0.93639135","-0.93639135"
"8480","-0.50551724","-0.50551724","-0.50551724"
"8500","-0.511908","-0.511908","-0.511908"
"8517","-0.75969356","-0.75969356","-0.75969356"
"8529","-1.0127963","-1.0127963","-1.0127963"
"8549","-0.791723","-0.791723","-0.791723"
"8574","-0.5956964","-0.5956964","-0.5956964"
"8594","-0.7404653","-0.7404653","-0.7404653"
"8614","-0.7863558","-0.7863558","-0.7863558"
"8631","-0.7185489","-0.7185489","-0.7185489"
"8651","-0.9189285","-0.9189285","-0.9189285"
"8671","-0.90624315","-0.90624315","-0.90624315"
"8688","-0.5442999","-0.5442999","-0.5442999"
"8708","-1.0134225","-1.0134225","-1.0134225"
"8728","-0.63344795","-0.63344795","-0.63344795"
"8745","-0.5560558","-0.5560558","-0.5560558"
"8757","-0.5517312","-0.5517312","-0.5517312"
"8777","-0.97000253","-0.97000253","-0.97000253"
"8802","-0.78109455","-0.78109455","-0.78109455"
"8814","-0.81753206","-0.81753206","-0.81753206"
"8842","-0.6605133","-0.6605133","-0.6605133"
"8859","-0.66800565","-0.66800565","-0.66800565"
"8879","-0.73993117","-0.73993117","-0.73993117"
"8899","-0.6913797","-0.6913797","-0.6913797"
"8908","-0.83297944","-0.83297944","-0.83297944"
"8936","-0.6970036","-0.6970036","-0.6970036"
"8956","-0.80397713","-0.80397713","-0.80397713"
"8973","-0.48757198","-0.48757198","-0.48757198"
"8985","-0.62794936","-0.62794936","-0.62794936"
"9013","-0.503348","-0.503348","-0.503348"
"9030","-0.41614422","-0.41614422","-0.41614422"
"9050","-0.18813063","-0.18813063","-0.18813063"
"9070","-0.50564057","-0.50564057","-0.50564057"
"9079","-0.5638292","-0.5638292","-0.5638292"
"9107","-0.14358753","-0.14358753","-0.14358753"
"9127","-0.15171425","-0.15171425","-0.15171425"
"9144","-0.73710185","-0.73710185","-0.73710185"
"9164","-0.7000584","-0.7000584","-0.7000584"
"9184","-0.3845072","-0.3845072","-0.3845072"
"9201","-0.49150032","-0.49150032","-0.49150032"
"9221","-0.551442","-0.551442","-0.551442"
"9241","-0.6953356","-0.6953356","-0.6953356"
"9258","-0.5176479","-0.5176479","-0.5176479"
"9278","-0.8310453","-0.8310453","-0.8310453"
"9298","-0.34342462","-0.34342462","-0.34342462"
"9315","-0.6410284","-0.6410284","-0.6410284"
