elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
212.702,0.5814,75.0175,174.454,90.6874,0.612,43.5541,60.0225,117.1899
212.802,0.5523,75.0175,174.454,90.6874,0.5814,43.5541,60.0225,117.1899
212.902,0.6242,75.004,174.4142,90.4784,0.6547,43.3405,60.1996,117.061
213.002,0.593,75.004,174.4142,90.4784,0.622,43.3405,60.1996,117.061
213.103,0.5633,75.004,174.4142,90.4784,0.5909,43.3405,60.1996,117.061
213.203,0.6547,74.9602,174.3408,90.251,0.6675,43.1291,60.3912,116.9716
213.302,0.6219,74.9602,174.3408,90.251,0.6342,43.1291,60.3912,116.9716
213.402,0.5908,74.9602,174.3408,90.251,0.6025,43.1291,60.3912,116.9716
213.502,0.6773,74.878,174.2298,90.0375,0.6788,42.9089,60.6051,116.9115
213.602,0.6434,74.878,174.2298,90.0375,0.6449,42.9089,60.6051,116.9115
213.702,0.6113,74.878,174.2298,90.0375,0.6126,42.9089,60.6051,116.9115
213.802,0.5807,74.878,174.2298,90.0375,0.582,42.9089,60.6051,116.9115
213.902,0.6624,74.7604,174.0878,89.8638,0.6726,42.6711,60.8412,116.8585
214.002,0.6624,74.7604,174.0878,89.8638,0.6726,42.6711,60.8412,116.8585
214.102,0.5979,74.7604,174.0878,89.8638,0.607,42.6711,60.8412,116.8585
214.202,0.6768,74.6276,173.9301,89.6912,0.6983,42.4151,61.0953,116.801
214.302,0.6768,74.6276,173.9301,89.6912,0.6983,42.4151,61.0953,116.801
214.402,0.6108,74.6276,173.9301,89.6912,0.6302,42.4151,61.0953,116.801
214.502,0.5803,74.6276,173.9301,89.6912,0.5987,42.4151,61.0953,116.801
214.602,0.5803,74.6276,173.9301,89.6912,0.5987,42.4151,61.0953,116.801
214.702,0.6289,74.4798,173.756,89.5131,0.6562,42.1422,61.3563,116.7169
214.802,0.5975,74.4798,173.756,89.5131,0.6234,42.1422,61.3563,116.7169
214.902,0.6906,74.327,173.5744,89.3225,0.7251,41.8583,61.6169,116.6044
215.002,0.6561,74.327,173.5744,89.3225,0.6888,41.8583,61.6169,116.6044
215.102,0.6233,74.327,173.5744,89.3225,0.6544,41.8583,61.6169,116.6044
